time,latitude,longitude,t2m,tp,d2m,number,temp_C,dewpoint_C,precip_mm,RH,outbreak_idx,outbreak_date,sno,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,Temp,week_num,precip_roll3_std,precip_7sum,stagnation,temp_suit,rain_suit,rh_suit,MSI,LAI,cases,lai_suit,MSI_new
2013-08-14,28.6,77.19999999999999,298.09775,0.004966767,297.02704,0.0,24.947754,23.877045,4.966767,93.78931,13,2013-09-23,5979,39th week,Delhi,New Delhi,Dengue,2115.0,3.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,39,2.1887089340087456,52.77918577194214,0,0.8544342868044374,0.1655589,0.8757862,0.6541772193312645,0.5721307903567755,2115.0,0.1144261580713551,0.572927966336046
2013-08-14,28.6,77.19999999999999,298.09775,0.004966767,297.02704,0.0,24.947754,23.877045,4.966767,93.78931,12,2013-09-16,5951,38th week,Delhi,New Delhi,Dengue,1345.0,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,38,2.1887089340087456,52.77918577194214,0,0.8544342868044374,0.1655589,0.8757862,0.6541772193312645,0.5721307903567755,1345.0,0.1144261580713551,0.572927966336046
2013-08-15,28.6,77.19999999999999,297.76874,0.013324417,297.27054,0.0,24.618744,24.120544,13.324417,97.05972,13,2013-09-23,5979,39th week,Delhi,New Delhi,Dengue,2115.0,3.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,39,4.190128886969531,57.62375211715698,0,0.821361060351,0.44414723333333334,0.9411944,0.7441469283101615,0.5756838317820583,2115.0,0.11513676635641165,0.628640104078349
2013-08-15,28.6,77.19999999999999,297.76874,0.013324417,297.27054,0.0,24.618744,24.120544,13.324417,97.05972,12,2013-09-16,5951,38th week,Delhi,New Delhi,Dengue,1345.0,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,38,4.190128886969531,57.62375211715698,0,0.821361060351,0.44414723333333334,0.9411944,0.7441469283101615,0.5756838317820583,1345.0,0.11513676635641165,0.628640104078349
2013-08-15,28.6,77.19999999999999,297.76874,0.013324417,297.27054,0.0,24.618744,24.120544,13.324417,97.05972,14,2013-10-07,6028,41st week,Delhi,New Delhi,Dengue,3519.0,5.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,41,4.190128886969532,31.5960431098938,0,0.821361060351,0.44414723333333334,0.9411944,0.7441469283101615,0.5756838317820583,3519.0,0.11513676635641165,0.628640104078349
2013-08-16,28.6,77.19999999999999,297.62286,0.009424179,297.3141,0.0,24.47287,24.164093,9.424179,98.16662,13,2013-09-23,5979,39th week,Delhi,New Delhi,Dengue,2115.0,3.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,39,4.181919392893227,53.38936376571655,0,0.8056149056734375,0.3141393,0.9633323999999999,0.7054874575266149,0.5792368732073412,2115.0,0.11584737464146824,0.6009097771976686
2013-08-16,28.6,77.19999999999999,297.62286,0.009424179,297.3141,0.0,24.47287,24.164093,9.424179,98.16662,12,2013-09-16,5951,38th week,Delhi,New Delhi,Dengue,1345.0,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,38,4.181919392893227,53.38936376571655,0,0.8056149056734375,0.3141393,0.9633323999999999,0.7054874575266149,0.5792368732073412,1345.0,0.11584737464146824,0.6009097771976686
2013-08-16,28.6,77.19999999999999,297.62286,0.009424179,297.3141,0.0,24.47287,24.164093,9.424179,98.16662,14,2013-10-07,6028,41st week,Delhi,New Delhi,Dengue,3519.0,5.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,41,4.181919392893229,41.02022218704224,0,0.8056149056734375,0.3141393,0.9633323999999999,0.7054874575266149,0.5792368732073412,3519.0,0.11584737464146824,0.6009097771976686
2013-08-17,28.6,77.19999999999999,297.69083,0.015229069,297.09436,0.0,24.540833,23.944366,15.229069,96.486755,12,2013-09-16,5951,38th week,Delhi,New Delhi,Dengue,1345.0,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,38,2.959062317912536,64.35036993026733,0,0.8130338072829844,0.5076356333333334,0.9297351,0.7564247219255193,0.5827899146326241,1345.0,0.11655798292652482,0.6359992661651654
2013-08-17,28.6,77.19999999999999,297.69083,0.015229069,297.09436,0.0,24.540833,23.944366,15.229069,96.486755,13,2013-09-23,5979,39th week,Delhi,New Delhi,Dengue,2115.0,3.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,39,2.959062317912536,64.35036993026733,0,0.8130338072829844,0.5076356333333334,0.9297351,0.7564247219255193,0.5827899146326241,2115.0,0.11655798292652482,0.6359992661651654
